,lab_L,luv_L,mean_gray,median_gray,mean_g,median_g,mean_v,mean_r,median_r,median_v,xyz_X,xyz_Y,luv_v,xyz_Z,median_b,mean_b,lab_b,SI,entropy,median_s,contrast,energy,homogeneity,HI,mean_h,median_h,CI,luv_u,mean_s
xyz_X,0.9988378263924993,0.9988378263924993,0.9985140884199467,0.9945879840384257,0.99573634181078,0.9933306421183392,0.9897351374556522,0.9897384621074885,0.9898038599347221,0.9898038599347221,1.0,0.9988378263924993,0.687669531269805,0.889409404691998,0.8482291971274872,0.836678556452796,0.5746238883714899,0.6581717656436298,0.5552802328253681,0.046022105226009684,0.5531870528083542,0.5587607277164172,0.5428985021196734,0.3877664033126831,0.40860169529715795,0.3960746197439967,0.19907848962729408,0.5094520890657603,0.03172393171663826
xyz_Y,1.0,1.0,0.9997852482704538,0.994789800878293,0.9988244238897844,0.9952468580851042,0.9862579672164394,0.9862619152404949,0.9853907306077022,0.9853907306077022,0.9988378263924993,1.0,0.692253914465851,0.8890073296105544,0.8479846709203238,0.8361674951283461,0.5782905637653677,0.6630759387881727,0.5419853657137799,0.04956652003575909,0.5389316730022063,0.5458695980121907,0.5300091386367348,0.41957719155854273,0.4408427151071224,0.4275410810907273,0.1950400765999783,0.4894427758848041,0.024130842504177633
luv_v,0.692253914465851,0.692253914465851,0.681070512956376,0.656955475828581,0.6850425368423371,0.6637593689480916,0.7611224149273543,0.7611106747505576,0.726387266973164,0.726387266973164,0.687669531269805,0.692253914465851,1.0,0.3234386499918754,0.2540715625311916,0.23182849201688757,0.9851221830328887,0.8896640522435789,0.14624956415892335,0.6045974468282265,0.15334592960797783,0.15749686132087587,0.18109669458958627,0.661669714956819,0.6422201547620278,0.6332255817686209,0.6412186386631242,0.7882907424654039,0.5995248033572335
xyz_Z,0.8890073296105544,0.8890073296105544,0.8961213572724889,0.9057607305261297,0.8934111426537454,0.9026442316321043,0.8279831373658867,0.8279930074260254,0.8491779924053632,0.8491779924053632,0.889409404691998,0.8890073296105544,0.3234386499918754,1.0,0.99158078951806,0.9929379200230066,0.18282956546384918,0.3675448318910578,0.6463615633676562,0.44196751344453283,0.6352574340254011,0.6431757157455926,0.6022064467492594,0.16414086632946384,0.2027402872047317,0.18808260948910155,0.0634433959323716,0.1832830687533844,0.34218064745101023
median_b,0.8479846709203238,0.8479846709203238,0.8560207810239107,0.8738843655852554,0.8532841763165847,0.870409508178468,0.7802981436487457,0.7803087955553476,0.8099294407267187,0.8099294407267187,0.8482291971274872,0.8479846709203238,0.2540715625311916,0.99158078951806,1.0,0.9951951113293817,0.11116838942829849,0.3176778380085252,0.6522028354196417,0.5116453742072921,0.6334733542191963,0.6492129231772709,0.5973515438402227,0.12444076897529506,0.16507899204120638,0.15156066575377727,0.10289305309058916,0.11982755812731596,0.40512230105309144
mean_b,0.8361674951283461,0.8361674951283461,0.8446087861405239,0.8567900431623844,0.841656703100695,0.8532154612923083,0.766897127376139,0.7669065818547983,0.7917868925077012,0.7917868925077012,0.836678556452796,0.8361674951283461,0.23182849201688757,0.9929379200230066,0.9951951113293817,1.0,0.08816675373098663,0.29632081560358847,0.650801635894936,0.5266099806257265,0.6362652191132572,0.6465040039197645,0.5997198149665021,0.10460497525835662,0.14562105290116015,0.1310350570933246,0.11426454337777146,0.10496538829647749,0.4252302425291956
lab_b,0.5782905637653677,0.5782905637653677,0.5656032767768497,0.5397948522732366,0.5692579003078212,0.5464058057693081,0.6607994873386869,0.6607850458822733,0.6222988266622352,0.6222988266622352,0.5746238883714899,0.5782905637653677,0.9851221830328887,0.18282956546384918,0.11116838942829849,0.08816675373098663,1.0,0.8604184406801074,0.05593913726116013,0.7210463759580529,0.06759702892488656,0.06675609980106115,0.0978568670891468,0.6390142906003365,0.6127356869773725,0.6052036443870605,0.6800264683844311,0.8147768930048078,0.704000324984717
SI,0.6630759387881727,0.6630759387881727,0.6544215583723668,0.6287437153665183,0.6582843882245819,0.6352895257324316,0.7181022513295491,0.7180694203926663,0.6781968714919603,0.6781968714919603,0.6581717656436298,0.6630759387881727,0.8896640522435789,0.3675448318910578,0.3176778380085252,0.29632081560358847,0.8604184406801074,1.0,0.06831608877984031,0.44969542061263174,0.07167637672793585,0.07559115426509194,0.10261808020473207,0.6067231940595121,0.5805291084834184,0.5661801718113836,0.7682604424197315,0.7084732284488795,0.3942336822971017
entropy,0.5419853657137799,0.5419853657137799,0.5450934995991716,0.5736962372406539,0.5334196080484834,0.56111631325745,0.5304114215089182,0.5304509017494734,0.5693409110470937,0.5693409110470937,0.5552802328253681,0.5419853657137799,0.14624956415892335,0.6463615633676562,0.6522028354196417,0.650801635894936,0.05593913726116013,0.06831608877984031,1.0,0.30581105184397317,0.9658592541891652,0.9986483212378344,0.9297558209458884,0.20375336569050734,0.16359916012019765,0.14605988627174027,0.24689477518496492,0.24229169082234017,0.06894392850003761
median_s,0.04956652003575909,0.04956652003575909,0.06478164755147425,0.09231824311924847,0.06572070027594783,0.09053849707196324,0.06726370440682669,0.06724873942316974,0.023108939888282363,0.023108939888282363,0.046022105226009684,0.04956652003575909,0.6045974468282265,0.44196751344453283,0.5116453742072921,0.5266099806257265,0.7210463759580529,0.44969542061263174,0.30581105184397317,1.0,0.2723428531684333,0.2998578982064406,0.2425691348332028,0.2864583661558555,0.24135274254332015,0.24361109050409685,0.5732843616845337,0.6711189296150675,0.9482797800565551
contrast,0.5389316730022063,0.5389316730022063,0.5416551862282947,0.5658127052454374,0.5293682080999323,0.5522222571954464,0.5310454949513084,0.5310828972844659,0.5650841688083048,0.5650841688083048,0.5531870528083542,0.5389316730022063,0.15334592960797783,0.6352574340254011,0.6334733542191963,0.6362652191132572,0.06759702892488656,0.07167637672793585,0.9658592541891652,0.2723428531684333,1.0,0.9650289223930678,0.9734504732849679,0.20817546431879755,0.16944478131076018,0.15466189300040498,0.2214537081712046,0.26290172703195447,0.048722357078412326
energy,0.5458695980121907,0.5458695980121907,0.548816901865005,0.5774708095447968,0.5375093453885209,0.5653400312853296,0.5347586115755234,0.5347990268744075,0.5736314245840057,0.5736314245840057,0.5587607277164172,0.5458695980121907,0.15749686132087587,0.6431757157455926,0.6492129231772709,0.6465040039197645,0.06675609980106115,0.07559115426509194,0.9986483212378344,0.2998578982064406,0.9650289223930678,1.0,0.93429116552735,0.19099761165323714,0.15149114145196543,0.1327730198653933,0.244729387885883,0.24431952065169826,0.0630362299778038
homogeneity,0.5300091386367348,0.5300091386367348,0.5321926037301763,0.5518559149321457,0.5213875891578117,0.5397380434075812,0.5238006630186924,0.5238379614564801,0.5518215046094619,0.5518215046094619,0.5428985021196734,0.5300091386367348,0.18109669458958627,0.6022064467492594,0.5973515438402227,0.5997198149665021,0.0978568670891468,0.10261808020473207,0.9297558209458884,0.2425691348332028,0.9734504732849679,0.93429116552735,1.0,0.15577863969376632,0.12252111160464303,0.10339649620472258,0.18755659700274324,0.2627360139169926,0.03733272325972139
HI,0.41957719155854273,0.41957719155854273,0.4149833538838375,0.38587057706840394,0.44244321182977614,0.41394546116245373,0.3984947431020747,0.39848695094933356,0.3606389646731894,0.3606389646731894,0.3877664033126831,0.41957719155854273,0.661669714956819,0.16414086632946384,0.12444076897529506,0.10460497525835662,0.6390142906003365,0.6067231940595121,0.20375336569050734,0.2864583661558555,0.20817546431879755,0.19099761165323714,0.15577863969376632,1.0,0.9946890503705809,0.9639627388962801,0.30850088539634213,0.13462190604783258,0.18573281767983355
mean_h,0.4408427151071224,0.4408427151071224,0.43691188563322075,0.40996323271108714,0.4648334553281458,0.43816359305636793,0.4134887258326053,0.4134824921102505,0.37908428603994154,0.37908428603994154,0.40860169529715795,0.4408427151071224,0.6422201547620278,0.2027402872047317,0.16507899204120638,0.14562105290116015,0.6127356869773725,0.5805291084834184,0.16359916012019765,0.24135274254332015,0.16944478131076018,0.15149114145196543,0.12252111160464303,0.9946890503705809,1.0,0.9713847325722492,0.25559820085422263,0.10747321752618316,0.157017544110274
median_h,0.4275410810907273,0.4275410810907273,0.42333710807226954,0.39831666608715477,0.4506887363666425,0.4261685174757792,0.40345361760762705,0.4034467934953897,0.3706972293385015,0.3706972293385015,0.3960746197439967,0.4275410810907273,0.6332255817686209,0.18808260948910155,0.15156066575377727,0.1310350570933246,0.6052036443870605,0.5661801718113836,0.14605988627174027,0.24361109050409685,0.15466189300040498,0.1327730198653933,0.10339649620472258,0.9639627388962801,0.9713847325722492,1.0,0.23928509650009602,0.11428250131119626,0.17175362848607947
CI,0.1950400765999783,0.1950400765999783,0.18470072107542512,0.15782056098537434,0.1814197052945496,0.15746659667822738,0.28281109286708417,0.2827737944292965,0.23905060136585354,0.23905060136585354,0.19907848962729408,0.1950400765999783,0.6412186386631242,0.0634433959323716,0.10289305309058916,0.11426454337777146,0.6800264683844311,0.7682604424197315,0.24689477518496492,0.5732843616845337,0.2214537081712046,0.244729387885883,0.18755659700274324,0.30850088539634213,0.25559820085422263,0.23928509650009602,1.0,0.6868650694208083,0.45746253429066686
luv_u,0.4894427758848041,0.4894427758848041,0.47695392905276096,0.4652128027408843,0.4605481228807942,0.4518931981565173,0.6091708650785636,0.609154657400862,0.5861705517095253,0.5861705517095253,0.5094520890657603,0.4894427758848041,0.7882907424654039,0.1832830687533844,0.11982755812731596,0.10496538829647749,0.8147768930048078,0.7084732284488795,0.24229169082234017,0.6711189296150675,0.26290172703195447,0.24431952065169826,0.2627360139169926,0.13462190604783258,0.10747321752618316,0.11428250131119626,0.6868650694208083,1.0,0.7187126366276062
mean_s,0.024130842504177633,0.024130842504177633,0.009191935059575683,0.005471599981049949,0.005121626153706135,0.007601996230070999,0.14094913407365017,0.14095173145789724,0.11330971924132044,0.11330971924132044,0.03172393171663826,0.024130842504177633,0.5995248033572335,0.34218064745101023,0.40512230105309144,0.4252302425291956,0.704000324984717,0.3942336822971017,0.06894392850003761,0.9482797800565551,0.048722357078412326,0.0630362299778038,0.03733272325972139,0.18573281767983355,0.157017544110274,0.17175362848607947,0.45746253429066686,0.7187126366276062,1.0
