,luv_L,lab_L,mean_gray,median_gray,mean_g,median_g,mean_v,mean_r,xyz_X,median_r,median_v,xyz_Y,luv_v,xyz_Z,mean_b,median_b,lab_b,SI,entropy,energy,median_s,contrast,homogeneity,HI,mean_h,CI,median_h,luv_u,mean_s
median_v,0.9867409516315602,0.9867409516315602,0.9849435335236651,0.9877783890987111,0.9797943241838657,0.9841751058577406,0.9944515659955872,0.9944553023222044,0.990953445513052,1.0,1.0,0.9867409516315602,0.7320179257756145,0.8570383544472623,0.8007313610648231,0.817712584585988,0.6253096013623776,0.68901550146696,0.579428613025826,0.5829922111010463,0.012234565423910713,0.5827042689464981,0.5714372229042053,0.3554839758121918,0.3757681982670944,0.26350994729074906,0.3697982389523658,0.5983215629450708,0.10124857120541811
xyz_Y,1.0,1.0,0.9997914091944083,0.9948455816439832,0.9988830654397004,0.9953775598901681,0.9875934402294866,0.987597727180864,0.9988956813251824,0.9867409516315602,0.9867409516315602,1.0,0.7026009546428296,0.8934028717674856,0.8416997884695706,0.8521301936938975,0.5867026117332634,0.6734771217653421,0.5583127049315864,0.561482354295709,0.05442418603310366,0.5629759281555943,0.5554503687390606,0.4145633862506446,0.43751861570416306,0.21954335393927962,0.4263729502870875,0.5089251877990915,0.018302097789035448
luv_v,0.7026009546428296,0.7026009546428296,0.6917636640450938,0.6665123567603278,0.6953596813447799,0.6730242420202525,0.7673895283251126,0.7673765449866553,0.6987338795317669,0.7320179257756145,0.7320179257756145,0.7026009546428296,1.0,0.3415954318246123,0.24979269527982156,0.27035426988874844,0.9842406767993866,0.8993415242684317,0.1361201375254002,0.14681350904118046,0.5937166500000465,0.15162444836122096,0.18225398104677554,0.6616480755875267,0.642779017540338,0.6647308835651757,0.6356973617346071,0.7932237996842354,0.5871085247865404
xyz_Z,0.8934028717674856,0.8934028717674856,0.9002361497787321,0.9104984272240871,0.8977781343432574,0.9076665386111248,0.8358457726372468,0.835856918710828,0.8935166597054742,0.8570383544472623,0.8570383544472623,0.8934028717674856,0.3415954318246123,1.0,0.9929222432759167,0.9913087907162303,0.1981702066678017,0.38260661341864777,0.6693420509510295,0.6657962522246216,0.43999738558203294,0.6642781814997226,0.6320528005428505,0.1647341906419526,0.20518489024745795,0.042792593617831755,0.19184553495483073,0.20611760209987126,0.3412932629946683
mean_b,0.8416997884695706,0.8416997884695706,0.8498393618076726,0.8627775936260038,0.8471687135838791,0.8594912835873985,0.7757574124451423,0.7757680685814233,0.8418428501612506,0.8007313610648231,0.8007313610648231,0.8416997884695706,0.24979269527982156,0.9929222432759167,1.0,0.9951859316600129,0.1030698246391918,0.31101415796313464,0.6750506778894971,0.6704887492023208,0.5248324099741464,0.6666674832288337,0.6308035829114769,0.10546672039645727,0.14841664967451787,0.09649094657111257,0.13494584736267065,0.12637797927810188,0.4243910385568407
median_b,0.8521301936938975,0.8521301936938975,0.8598748582283876,0.8785045340737663,0.8573017568531395,0.8752003238163342,0.7879554343354244,0.7879672569414337,0.852150102227333,0.817712584585988,0.817712584585988,0.8521301936938975,0.27035426988874844,0.9913087907162303,0.9951859316600129,1.0,0.12442263706808827,0.33263673845843955,0.6753534430518593,0.672055671059561,0.5113308914042607,0.663028284401569,0.6275378625309301,0.12291148749479942,0.1655884355784346,0.08311726949460004,0.1534037539485581,0.14157344045205142,0.40572800925792585
lab_b,0.5867026117332634,0.5867026117332634,0.574346148051703,0.5469519225838045,0.5776859281433459,0.55336670698963,0.6649103231014011,0.664894032686167,0.5836517721644573,0.6253096013623776,0.6253096013623776,0.5867026117332634,0.9842406767993866,0.1981702066678017,0.1030698246391918,0.12442263706808827,1.0,0.8699000895360416,0.037351349960988746,0.047654853870075974,0.7141425481066714,0.05591544172134571,0.08925445016174055,0.6430891281688226,0.6168857691858154,0.7007983528307965,0.6110402880744058,0.8180310399776589,0.6956353935605091
SI,0.6734771217653421,0.6734771217653421,0.6648590021691974,0.640296289718499,0.6687336713084143,0.6467271736881997,0.7261451365761467,0.7261093711532267,0.6690254289707275,0.68901550146696,0.68901550146696,0.6734771217653421,0.8993415242684317,0.38260661341864777,0.31101415796313464,0.33263673845843955,0.8699000895360416,1.0,0.09116287843063284,0.09813713590003319,0.44444611462161737,0.0977525351193181,0.1302911084953903,0.6126626744942316,0.5861023952453546,0.7783104757168702,0.5704183048353346,0.7207390459205983,0.39252894610812183
entropy,0.5583127049315864,0.5583127049315864,0.5617518198108598,0.5886860258335492,0.5502006905666247,0.5763622627434837,0.5437362128581594,0.543780062246534,0.5713354833415194,0.579428613025826,0.579428613025826,0.5583127049315864,0.1361201375254002,0.6693420509510295,0.6750506778894971,0.6753534430518593,0.037351349960988746,0.09116287843063284,1.0,0.9985985343525662,0.34194800278551163,0.9701052507805313,0.9360380730276043,0.20940753107121116,0.16474583169752968,0.2283960310179305,0.1403905118931473,0.22998685743192016,0.1062508650455458
energy,0.561482354295709,0.561482354295709,0.564756482789115,0.5917442158665361,0.5535473297804714,0.5798588034487513,0.5473700778142917,0.5474150295615918,0.574124328939004,0.5829922111010463,0.5829922111010463,0.561482354295709,0.14681350904118046,0.6657962522246216,0.6704887492023208,0.672055671059561,0.047654853870075974,0.09813713590003319,0.9985985343525662,1.0,0.33630099238844174,0.9695942461763456,0.9411291339990765,0.1971708570595678,0.15317118510845337,0.22597929280000392,0.127668138863091,0.23184188253508256,0.1008651067879588
median_s,0.05442418603310366,0.05442418603310366,0.0693197280975919,0.09872713310019772,0.07019217444968577,0.09681738380183016,0.05766679260208168,0.05765025275409225,0.05078823737545869,0.012234565423910713,0.012234565423910713,0.05442418603310366,0.5937166500000465,0.43999738558203294,0.5248324099741464,0.5113308914042607,0.7141425481066714,0.44444611462161737,0.34194800278551163,0.33630099238844174,1.0,0.30828947338573454,0.2757278422011374,0.29447110423623146,0.24788944786469586,0.5747118745906307,0.2506598977009145,0.6602956640270948,0.9477032117740068
contrast,0.5629759281555943,0.5629759281555943,0.5661749737577334,0.5886579156680345,0.553986558570167,0.5757721556529758,0.5518647626070053,0.5519061623088786,0.5764888888344514,0.5827042689464981,0.5827042689464981,0.5629759281555943,0.15162444836122096,0.6642781814997226,0.6666674832288337,0.663028284401569,0.05591544172134571,0.0977525351193181,0.9701052507805313,0.9695942461763456,0.30828947338573454,1.0,0.9736984509407408,0.20762881370256642,0.16502589211537455,0.20444030175238323,0.14328501007096797,0.2525501848900887,0.08490368445098238
homogeneity,0.5554503687390606,0.5554503687390606,0.5581284885066834,0.5759111498298457,0.5471880661072399,0.5644799413421424,0.5468293095191142,0.5468705867366623,0.5677653102344228,0.5714372229042053,0.5714372229042053,0.5554503687390606,0.18225398104677554,0.6320528005428505,0.6308035829114769,0.6275378625309301,0.08925445016174055,0.1302911084953903,0.9360380730276043,0.9411291339990765,0.2757278422011374,0.9736984509407408,1.0,0.15507066733134828,0.11841999257806216,0.16823662991728633,0.09250168850073869,0.2571999348383391,0.07092344607198894
HI,0.4145633862506446,0.4145633862506446,0.4101845716294457,0.3794838661276734,0.4368589629742134,0.40705634880220176,0.393879335792002,0.3938701494676219,0.38406013490423563,0.3554839758121918,0.3554839758121918,0.4145633862506446,0.6616480755875267,0.1647341906419526,0.10546672039645727,0.12291148749479942,0.6430891281688226,0.6126626744942316,0.20940753107121116,0.1971708570595678,0.29447110423623146,0.20762881370256642,0.15507066733134828,1.0,0.9944195221157556,0.335050481914577,0.9637761090879183,0.1449648531229216,0.18717001191772484
mean_h,0.43751861570416306,0.43751861570416306,0.4338140159368649,0.4054735638277527,0.46099096129957606,0.433185935294144,0.4106511269982134,0.4106437779384842,0.40656578469478105,0.3757681982670944,0.3757681982670944,0.43751861570416306,0.642779017540338,0.20518489024745795,0.14841664967451787,0.1655884355784346,0.6168857691858154,0.5861023952453546,0.16474583169752968,0.15317118510845337,0.24788944786469586,0.16502589211537455,0.11841999257806216,0.9944195221157556,1.0,0.28021450313053115,0.9715433626777801,0.11799638052684129,0.15807080322987507
CI,0.21954335393927962,0.21954335393927962,0.2090508567166117,0.18340400937313664,0.20625208988879648,0.18332741948512823,0.3047881572355778,0.30474700250235476,0.22328231044632063,0.26350994729074906,0.26350994729074906,0.21954335393927962,0.6647308835651757,0.042792593617831755,0.09649094657111257,0.08311726949460004,0.7007983528307965,0.7783104757168702,0.2283960310179305,0.22597929280000392,0.5747118745906307,0.20444030175238323,0.16823662991728633,0.335050481914577,0.28021450313053115,1.0,0.26238600224591807,0.6968416191937836,0.4648808043790596
median_h,0.4263729502870875,0.4263729502870875,0.4223368988169723,0.3961159704053966,0.44895925846269175,0.4235050251257842,0.40271249769501455,0.40270445637525154,0.39623552873996115,0.3697982389523658,0.3697982389523658,0.4263729502870875,0.6356973617346071,0.19184553495483073,0.13494584736267065,0.1534037539485581,0.6110402880744058,0.5704183048353346,0.1403905118931473,0.127668138863091,0.2506598977009145,0.14328501007096797,0.09250168850073869,0.9637761090879183,0.9715433626777801,0.26238600224591807,1.0,0.12715355722106883,0.17502918782324126
luv_u,0.5089251877990915,0.5089251877990915,0.49667834758846735,0.4843807763826127,0.48100941781975454,0.47167044135305153,0.6218014749562425,0.6217829798231571,0.5283792506653961,0.5983215629450708,0.5983215629450708,0.5089251877990915,0.7932237996842354,0.20611760209987126,0.12637797927810188,0.14157344045205142,0.8180310399776589,0.7207390459205983,0.22998685743192016,0.23184188253508256,0.6602956640270948,0.2525501848900887,0.2571999348383391,0.1449648531229216,0.11799638052684129,0.6968416191937836,0.12715355722106883,1.0,0.7114783735551443
mean_s,0.018302097789035448,0.018302097789035448,0.0036995165543689547,0.012931104832086761,0.00043837139942015923,0.01511823249584373,0.130868132150788,0.13087094929026458,0.026159222273529546,0.10124857120541811,0.10124857120541811,0.018302097789035448,0.5871085247865404,0.3412932629946683,0.4243910385568407,0.40572800925792585,0.6956353935605091,0.39252894610812183,0.1062508650455458,0.1008651067879588,0.9477032117740068,0.08490368445098238,0.07092344607198894,0.18717001191772484,0.15807080322987507,0.4648808043790596,0.17502918782324126,0.7114783735551443,1.0
