,luv_L,lab_L,mean_v,mean_r,mean_gray,median_gray,mean_g,median_g,median_r,median_v,xyz_X,xyz_Y,luv_v,xyz_Z,median_b,lab_b,mean_b,SI,entropy,median_s,energy,contrast,luv_u,homogeneity,CI,HI,mean_s,mean_h,median_h
xyz_X,0.9989252602795073,0.9989252602795073,0.990949560248483,0.9909521988606556,0.9985316947826598,0.9951040327841693,0.9959660567281003,0.9939591654010813,0.9906854179401728,0.9906854179401728,1.0,0.9989252602795073,0.7139179577141785,0.884929793332763,0.8470301291875529,0.6054592061281767,0.829217723640419,0.6796952402940816,0.5814517108204744,0.01175716927042024,0.5837280085589982,0.5747593657848273,0.5566112386325804,0.5320311644834556,0.19940392101891657,0.35439517546255594,0.09321874610263584,0.3741012871294742,0.3525342309253571
xyz_Y,1.0,1.0,0.9874297340670599,0.9874329498756451,0.9997824794090333,0.9952596697285703,0.9988672932683438,0.9956606752972675,0.9863343452808055,0.9863343452808055,0.9989252602795073,1.0,0.7157255719655702,0.885976003059141,0.8481555106474291,0.6060274147681887,0.8304314852397479,0.6827251091777322,0.5688048426779028,0.005460258696665248,0.5714506285772005,0.5612523925306662,0.5364218975950493,0.5203784759334864,0.19397192557876825,0.3850617857838585,0.08293648674973485,0.4051749864755663,0.38278955409594606
luv_v,0.7157255719655702,0.7157255719655702,0.7822325338819448,0.7822228864561892,0.7044294258854038,0.6834635004464314,0.7070033096030023,0.6883761690164462,0.7512083114872155,0.7512083114872155,0.7139179577141785,0.7157255719655702,1.0,0.34161217142321176,0.2761176814847239,0.985500661199105,0.24398327367252556,0.8887576774853202,0.1982792125804081,0.6267023197897241,0.20512401992564475,0.20866256376216621,0.8178764737834298,0.20315924333673124,0.6235050870587411,0.6053993426145142,0.6289421123533432,0.5867172796468647,0.5699529662739474
xyz_Z,0.885976003059141,0.885976003059141,0.8246283525062178,0.8246375051921909,0.8933960278579726,0.9017301530377597,0.8914095651752667,0.8995856101031834,0.8439236983799444,0.8439236983799444,0.884929793332763,0.885976003059141,0.34161217142321176,1.0,0.9918795480510442,0.20431017298370346,0.9924543112964553,0.38185232635922023,0.656979263188165,0.3984923651504056,0.6548190643852291,0.639353168962912,0.21506688778786381,0.5850182074546978,0.0698513616166447,0.1519032124072492,0.29695605164671046,0.1893686231777059,0.1669019990140244
median_b,0.8481555106474291,0.8481555106474291,0.7808699057562195,0.7808798853206493,0.8564788385227323,0.8728463517312908,0.8542362819390195,0.8703562620008506,0.8080891408888567,0.8080891408888567,0.8470301291875529,0.8481555106474291,0.2761176814847239,0.9918795480510442,1.0,0.13678226063379995,0.9943232217245268,0.33242522941081754,0.6588383898207063,0.4628265052495496,0.656974314403675,0.6334643163111275,0.15845709105586714,0.5752466302677212,0.10785834883807019,0.11128430856410874,0.35492461103443196,0.1508335523171101,0.129448775085943
lab_b,0.6060274147681887,0.6060274147681887,0.686393192380595,0.6863814835390798,0.5931166029517412,0.57095724327437,0.5950807198876116,0.5754151932693968,0.6520360831888744,0.6520360831888744,0.6054592061281767,0.6060274147681887,0.985500661199105,0.20431017298370346,0.13678226063379995,1.0,0.10304394835328956,0.858322935208672,0.10985057827865599,0.7391077861259112,0.1159949165487365,0.12584955581643917,0.8423696386441244,0.12330139856752219,0.6609923449325762,0.5818755379006748,0.7296925707606727,0.5569153913941127,0.5426510243438509
mean_b,0.8304314852397479,0.8304314852397479,0.7600535968097529,0.7600619249294223,0.8393193205161372,0.8500443400378747,0.837211151846977,0.8476055218898871,0.782981219440427,0.782981219440427,0.829217723640419,0.8304314852397479,0.24398327367252556,0.9924543112964553,0.9943232217245268,0.10304394835328956,1.0,0.3045096561867725,0.6576722287099557,0.4904926889371354,0.65498026709764,0.6362472750660426,0.12867765332552744,0.5827254183900962,0.12564242476090154,0.09427699449705063,0.3866575689517804,0.1344668948887587,0.1131621470880761
SI,0.6827251091777322,0.6827251091777322,0.7352375317844543,0.7352091667036004,0.6739357271180274,0.6499259858719572,0.6771158319822471,0.6552408884365781,0.698773890386972,0.698773890386972,0.6796952402940816,0.6827251091777322,0.8887576774853202,0.38185232635922023,0.33242522941081754,0.858322935208672,0.3045096561867725,1.0,0.10339067848407608,0.4598751396696979,0.10854463016655208,0.10661860819392151,0.7202593673308891,0.12256951351618778,0.7543167592070558,0.5715692836683306,0.41551384395288843,0.545414587720241,0.5249122485850671
entropy,0.5688048426779028,0.5688048426779028,0.5595269050831421,0.5595611245847536,0.5717257863528092,0.598795971983985,0.5600754065884909,0.5868720568091864,0.5952934725774768,0.5952934725774768,0.5814517108204744,0.5688048426779028,0.1982792125804081,0.656979263188165,0.6588383898207063,0.10985057827865599,0.6576722287099557,0.10339067848407608,1.0,0.24817916230151663,0.9987323117643967,0.9688861449154665,0.2870760981934783,0.9214478559730037,0.23796253789139843,0.20339622369246976,0.01708348836897693,0.16205024622684122,0.1486351189310806
median_s,0.005460258696665248,0.005460258696665248,0.11970765405938098,0.11969569482020728,0.010218798725124706,0.03267562206383313,0.012870574437491709,0.032662938588741135,0.08086458787374401,0.08086458787374401,0.01175716927042024,0.005460258696665248,0.6267023197897241,0.3984923651504056,0.4628265052495496,0.7391077861259112,0.4904926889371354,0.4598751396696979,0.24817916230151663,1.0,0.24643855689791824,0.20900815898327005,0.6911960223281419,0.20272799134435826,0.5618214678121246,0.2603463685205717,0.9539095779075024,0.2180955150815287,0.21672020437873718
energy,0.5714506285772005,0.5714506285772005,0.5622656196048884,0.5623006636728038,0.574298680590843,0.601340378347883,0.562953472815595,0.589802980178492,0.5979423728893588,0.5979423728893588,0.5837280085589982,0.5714506285772005,0.20512401992564475,0.6548190643852291,0.656974314403675,0.1159949165487365,0.65498026709764,0.10854463016655208,0.9987323117643967,0.24643855689791824,1.0,0.9676185391364935,0.28634371840236156,0.9259551827599677,0.23708206599210271,0.1928825910346967,0.015673397532691476,0.15217726015535368,0.13769932252265069
contrast,0.5612523925306662,0.5612523925306662,0.556110067233075,0.5561426376020787,0.5636203820421828,0.5862849467556066,0.5515831157680784,0.573614678786628,0.5872105764124578,0.5872105764124578,0.5747593657848273,0.5612523925306662,0.20866256376216621,0.639353168962912,0.6334643163111275,0.12584955581643917,0.6362472750660426,0.10661860819392151,0.9688861449154665,0.20900815898327005,0.9676185391364935,1.0,0.3092574265079514,0.9633833192298138,0.20981976011304804,0.20490212913326744,0.009732644683041866,0.16517292011236615,0.15324931067101497
luv_u,0.5364218975950493,0.5364218975950493,0.648333273208707,0.6483202450611055,0.5237220098391374,0.5164151728251698,0.507600501748596,0.5036528670722484,0.6291665414806282,0.6291665414806282,0.5566112386325804,0.5364218975950493,0.8178764737834298,0.21506688778786381,0.15845709105586714,0.8423696386441244,0.12867765332552744,0.7202593673308891,0.2870760981934783,0.6911960223281419,0.28634371840236156,0.3092574265079514,1.0,0.2737098784073914,0.6581616088113155,0.11202594910158348,0.7424652677212182,0.08706022708680164,0.08476252501222686
homogeneity,0.5203784759334864,0.5203784759334864,0.5156813339833665,0.515713656982479,0.5224111143292102,0.5390901357036986,0.5124401287560284,0.5281727281176658,0.5400018792599434,0.5400018792599434,0.5320311644834556,0.5203784759334864,0.20315924333673124,0.5850182074546978,0.5752466302677212,0.12330139856752219,0.5827254183900962,0.12256951351618778,0.9214478559730037,0.20272799134435826,0.9259551827599677,0.9633833192298138,0.2737098784073914,1.0,0.175597867259255,0.14854731000703975,0.006220404511614532,0.1150565624667017,0.09763861928163217
CI,0.19397192557876825,0.19397192557876825,0.2797698635445838,0.2797374580888408,0.1831908860686431,0.15950828455456026,0.17964607552821202,0.15845921182237774,0.24034602624362517,0.24034602624362517,0.19940392101891657,0.19397192557876825,0.6235050870587411,0.0698513616166447,0.10785834883807019,0.6609923449325762,0.12564242476090154,0.7543167592070558,0.23796253789139843,0.5618214678121246,0.23708206599210271,0.20981976011304804,0.6581616088113155,0.175597867259255,1.0,0.2991629209024466,0.4517106555611328,0.2446433852702235,0.22558641531436424
HI,0.3850617857838585,0.3850617857838585,0.36050785038656696,0.36050150122602703,0.38120677339990333,0.35150977009374573,0.4089355364370696,0.3782385080669835,0.3251615537933716,0.3251615537933716,0.35439517546255594,0.3850617857838585,0.6053993426145142,0.1519032124072492,0.11128430856410874,0.5818755379006748,0.09427699449705063,0.5715692836683306,0.20339622369246976,0.2603463685205717,0.1928825910346967,0.20490212913326744,0.11202594910158348,0.14854731000703975,0.2991629209024466,1.0,0.15900008967158555,0.994335497359543,0.9620460020317187
mean_s,0.08293648674973485,0.08293648674973485,0.19762508413153068,0.19762706309066003,0.06755972694486846,0.057021418508922006,0.06157048959655002,0.05326937451428636,0.173259258074895,0.173259258074895,0.09321874610263584,0.08293648674973485,0.6289421123533432,0.29695605164671046,0.35492461103443196,0.7296925707606727,0.3866575689517804,0.41551384395288843,0.01708348836897693,0.9539095779075024,0.015673397532691476,0.009732644683041866,0.7424652677212182,0.006220404511614532,0.4517106555611328,0.15900008967158555,1.0,0.13316119411963004,0.1427813619427245
mean_h,0.4051749864755663,0.4051749864755663,0.3746366368133118,0.3746315245021223,0.40199459294757917,0.3746024042878327,0.4301240133316708,0.4014533600375621,0.34269913974202465,0.34269913974202465,0.3741012871294742,0.4051749864755663,0.5867172796468647,0.1893686231777059,0.1508335523171101,0.5569153913941127,0.1344668948887587,0.545414587720241,0.16205024622684122,0.2180955150815287,0.15217726015535368,0.16517292011236615,0.08706022708680164,0.1150565624667017,0.2446433852702235,0.994335497359543,0.13316119411963004,1.0,0.969383127113212
median_h,0.38278955409594606,0.38278955409594606,0.3550156512594821,0.3550100962838546,0.37932422460544685,0.3533607739940436,0.40689195727778155,0.37989236669312393,0.3244530909826414,0.3244530909826414,0.3525342309253571,0.38278955409594606,0.5699529662739474,0.1669019990140244,0.129448775085943,0.5426510243438509,0.1131621470880761,0.5249122485850671,0.1486351189310806,0.21672020437873718,0.13769932252265069,0.15324931067101497,0.08476252501222686,0.09763861928163217,0.22558641531436424,0.9620460020317187,0.1427813619427245,0.969383127113212,1.0
